GRID,Name,CIND,Avox,ClientType,Explanation,CountryInc,Country,LOB,Cif Risk,Risk Rating,HasTransactions,NumberOfTransactions,Sources,MaxTradeDate,TotalAmount,AccountSources,Open Account Sources,AccountIds,Markets,HSI,Payments,GTRF,HSS,NumberofTransactions,NKYC_PROFILE_ID_LATEST,NKYC_STATUS_LATEST,NKYC_REQUEST_TYPE_LATEST,NKYC_RISK_RATING_LATEST,KYCS_NEXT_RENEWAL_DATE_LATEST,RM,Rec
26201527,cust1,102222193,3210826,GBM Customers,Direct Customer,twn,twn,gbm,m,medium,yes,24351,"GPS, KYCS, WDA",5/14/2020,5080517935,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,24351,20192675,ACTIVE,Trigger,MEDIUM,2/28/2021,Richard Johnson,HCAL
348558,cust2,742139763,3792226,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,4034,"Impact Fin, Impact Trades, KYCS",5/14/2020,27991659867,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,4034,20173454,ACTIVE,New Business - Remediation,LOW,10/28/2023,Sina Lamers  ,"FISC,ADP,WDA"
4466645,cust4,680132382,3796456,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,12345,ACTIVE,New Business - Remediation,LOW,10/28/2023,Amrita Singh,"IMPACT TRADES,FISC,WDA"
72227,cust5,393626152,3198358,GBM Customers,Direct Customer,usa,usa,gbm,l,scc,yes,8540,"ADP, FISC, Impact Fin, Impact Trades, NFOS, KYCS",5/14/2020,1.80E+11,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,8540,20212565,ACTIVE,Renewal,SCC,4/27/2021,Jonathan Parker,"TDA,TRT,GPS"
4567878,cust6,482533642,35391541,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,75,"GPS, KYCS, WDA",5/8/2020,1634587.6,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,75,20192751,ACTIVE,Trigger,LOW,4/3/2022,Steve Moore,"ADP,IMPACT TRADES,LOAN IQ"
4301232,cust7,121774710,4127922,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20203056,ACTIVE,Renewal,MEDIUM,7/29/2020,Deloise Marez  ,"IMPACT TRADES,FISC,WDA"
2237202,cust8,74279905,2377270,GBM Customers,Direct Customer,aus,aus,gbm,h,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20202456,ACTIVE,Renewal,LOW,6/27/2022,Alan Amante  ,"IMPACT TRADES,FISC,FITEK"
4589701,cust10,762862144,10146235,GBM Customers,Direct Customer,usa,usa,gbm,,low,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,no,no,no,0,20202667,ACTIVE,New Business,LOW,4/12/2022,Makeda Hutson  ,"IMPACT TRADES,FISC,WDA"
4400507,cust11,814527997,32620644,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,33,"DDA, GPS, KYCS",5/12/2020,20416702.68,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc5,no,no,yes,no,no,33,20192749,ACTIVE,New Business - Remediation,LOW,10/23/2023,Brandie Pokorny  ,"FISC,WDA,ADP"
724814,cust12,288472741,4168911,GBM Customers,Direct Customer,per,per,gbm,h,scc,yes,603,"Impact Trades, NFOS, KYCS",5/7/2020,16326740296,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc5,yes,yes,no,no,no,603,20203459,ACTIVE,Trigger,SCC,9/15/2020,Loren Brizendine  ,"GPS,DDA,WDA"
